 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  H   
  2.5166  2.4939  2.4679  2.4396  2.4088  2.3773  2.3460  2.3159  2.2871  2.2593
  2.2317  2.2033  2.1748  2.1477  2.1242  2.0800  2.0014  1.8721  1.7295  1.5906
  1.4566  1.3273  1.2021  1.0802  0.9613  0.8451  0.7317  0.6211  0.5134  0.4083
  0.3102
  2.5051  2.4811  2.4630  2.4402  2.4135  2.3833  2.3508  2.3173  2.2837  2.2503
  2.2174  2.1844  2.1515  2.1186  2.0616  1.9780  1.9664  1.8689  1.7288
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  H   
  2.9142  2.9248  2.9240  2.9123  2.8883  2.8526  2.8062  2.7502  2.6867  2.6217
  2.5572  2.4943  2.4333  2.3742  2.3165  2.1746  2.0335  1.8912  1.7461
  2.8627  2.8823  2.8908  2.8876  2.8723  2.8446  2.8044  2.7520  2.6916  2.6277
  2.5632  2.4994  2.4373  2.3769  2.3179  2.1726  2.0290  1.8862  1.7422  1.5975
  2.7989  2.8265  2.8442  2.8507  2.8449  2.8265  2.7949  2.7498  2.6944  2.6331
  2.5693  2.5053  2.4422  2.3806  2.3204  2.1723  2.0260  1.8820  1.7389  1.5964
  1.4555
  2.7276  2.7603  2.7856  2.8012  2.8055  2.7973  2.7758  2.7401  2.6917  2.6350
  2.5736  2.5103  2.4470  2.3845  2.3233  2.1731  2.0246  1.8791  1.7362  1.5951
  1.4562  1.3198
  2.6485  2.6848  2.7166  2.7404  2.7540  2.7559  2.7450  2.7202  2.6810  2.6309
  2.5738  2.5128  2.4503  2.3878  2.3260  2.1744  2.0245  1.8777  1.7345  1.5942
  1.4567  1.3220  1.1902  1.0613
  2.5386  2.5802  2.6257  2.6629  2.6890  2.7021  2.7019  2.6884  2.6601  2.6187
  2.5679  2.5110  2.4509  2.3895  2.3279  2.1758  2.0252  1.8775  1.7338  1.5940
  1.4575  1.3241  1.1938  1.0663  0.9417  0.8201  0.7012  0.5852  0.4731  0.3671
  2.4897  2.4813  2.4953  2.5289  2.5716  2.6102  2.6334  2.6377  2.6248  2.5955
  2.5537  2.5032  2.4474  2.3885  2.3282  2.1767  2.0261  1.8779  1.7339  1.5944
  1.4587  1.3263  1.1972  1.0710  0.9476  0.8272  0.7097  0.5951  0.4833  0.3752
  0.2728
  2.4903  2.4650  2.4479  2.4443  2.4554  2.4753  2.4976  2.5184  2.5309  2.5310
  2.5146  2.4816  2.4360  2.3829  2.3259  2.1771  2.0270  1.8787  1.7345  1.5950
  1.4599  1.3286  1.2006  1.0756  0.9534  0.8341  0.7175  0.6039  0.4932  0.3853
  0.2809
  2.5025  2.4726  2.4455  2.4236  2.4099  2.4056  2.4076  2.4104  2.4099  2.4056
  2.3997  2.3922  2.3781  2.3514  2.3110  2.1747  2.0260  1.8778  1.7333  1.5938
  1.4590  1.3282  1.2012  1.0772  0.9561  0.8377  0.7221  0.6094  0.4996  0.3924
  0.2878
  2.5188  2.4886  2.4581  2.4291  2.4032  2.3820  2.3662  2.3543  2.3425  2.3275
  2.3089  2.2891  2.2719  2.2581  2.2432  2.1633  2.0263  1.8793  1.7350  1.5956
  1.4612  1.3311  1.2049  1.0819  0.9618  0.8446  0.7301  0.6184  0.5094  0.4031
  0.2993
  2.5323  2.5041  2.4745  2.4437  2.4130  2.3835  2.3560  2.3312  2.3083  2.2855
  2.2610  2.2341  2.2060  2.1797  2.1575  2.1091  2.0177  1.8799  1.7365  1.5973
  1.4632  1.3337  1.2084  1.0865  0.9676  0.8514  0.7378  0.6270  0.5190  0.4135
  0.3154
  2.5335  2.5109  2.4851  2.4564  2.4259  2.3937  2.3610  2.3287  2.2973  2.2666
  2.2361  2.2048  2.1724  2.1396  2.0539  2.0121  2.0002  1.8796  1.7378
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  H   
  2.9521  2.9564  2.9500  2.9326  2.9037  2.8630  2.8105  2.7474  2.6798  2.6119
  2.5451  2.4801  2.4173  2.3568  2.2983  2.1569  2.0193  1.8819  1.7414
  2.9085  2.9227  2.9246  2.9150  2.8935  2.8596  2.8131  2.7546  2.6894  2.6221
  2.5550  2.4892  2.4253  2.3635  2.3036  2.1588  2.0177  1.8787  1.7384  1.5962
  2.8504  2.8737  2.8858  2.8861  2.8739  2.8489  2.8108  2.7593  2.6981  2.6324
  2.5656  2.4992  2.4342  2.3712  2.3100  2.1619  2.0174  1.8761  1.7360  1.5956
  1.4561
  2.7817  2.8123  2.8336  2.8439  2.8421  2.8275  2.7995  2.7573  2.7025  2.6403
  2.5748  2.5085  2.4429  2.3788  2.3163  2.1656  2.0184  1.8748  1.7342  1.5949
  1.4572  1.3216
  2.7056  2.7406  2.7693  2.7887  2.7971  2.7933  2.7764  2.7453  2.6996  2.6432
  2.5808  2.5157  2.4502  2.3855  2.3222  2.1694  2.0203  1.8748  1.7333  1.5945
  1.4581  1.3242  1.1930  1.0645
  2.5971  2.6544  2.6911  2.7202  2.7389  2.7457  2.7400  2.7208  2.6866  2.6386
  2.5815  2.5194  2.4552  2.3908  2.3271  2.1728  2.0227  1.8759  1.7334  1.5949
  1.4593  1.3267  1.1970  1.0699  0.9453  0.8235  0.7046  0.5890  0.4773  0.3716
  2.5099  2.5292  2.5726  2.6202  2.6573  2.6801  2.6881  2.6816  2.6605  2.6240
  2.5750  2.5180  2.4567  2.3937  2.3304  2.1756  2.0250  1.8775  1.7344  1.5958
  1.4610  1.3294  1.2009  1.0752  0.9521  0.8317  0.7142  0.5994  0.4875  0.3797
  0.2776
  2.4929  2.4747  2.4716  2.4888  2.5200  2.5557  2.5871  2.6054  2.6063  2.5897
  2.5556  2.5084  2.4531  2.3934  2.3318  2.1777  2.0270  1.8792  1.7357  1.5970
  1.4627  1.3320  1.2048  1.0803  0.9585  0.8392  0.7225  0.6088  0.4979  0.3899
  0.2858
  2.4995  2.4719  2.4496  2.4366  2.4365  2.4475  2.4627  2.4771  2.4869  2.4889
  2.4811  2.4613  2.4278  2.3817  2.3271  2.1776  2.0272  1.8792  1.7352  1.5962
  1.4621  1.3320  1.2056  1.0823  0.9617  0.8435  0.7278  0.6148  0.5045  0.3972
  0.2928
  2.5149  2.4838  2.4553  2.4299  2.4104  2.3988  2.3946  2.3936  2.3907  2.3831
  2.3704  2.3547  2.3374  2.3168  2.2888  2.1753  2.0291  1.8817  1.7376  1.5986
  1.4647  1.3351  1.2095  1.0872  0.9678  0.8509  0.7364  0.6245  0.5152  0.4066
  0.3053
  2.5326  2.5022  2.4715  2.4413  2.4131  2.3881  2.3676  2.3513  2.3369  2.3210
  2.3011  2.2769  2.2506  2.2254  2.2027  2.1387  2.0274  1.8839  1.7403  1.6012
  1.4674  1.3383  1.2134  1.0921  0.9737  0.8580  0.7446  0.6337  0.5254  0.4197
  0.3233
  2.5452  2.5191  2.4893  2.4587  2.4271  2.3961  2.3662  2.3384  2.3125  2.2875
  2.2616  2.2333  2.2022  2.1697  2.0688  2.0678  2.0221  1.8858  1.7433
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  H   
  2.9823  2.9808  2.9688  2.9456  2.9117  2.8665  2.8106  2.7422  2.6710  2.6006
  2.5316  2.4645  2.3997  2.3375  2.2777  2.1358  2.0009  1.8684  1.7335
  2.9465  2.9546  2.9509  2.9355  2.9083  2.8691  2.8172  2.7536  2.6844  2.6143
  2.5451  2.4772  2.4115  2.3481  2.2871  2.1416  2.0026  1.8674  1.7317  1.5931
  2.8953  2.9136  2.9200  2.9143  2.8961  2.8653  2.8213  2.7639  2.6979  2.6288
  2.5595  2.4911  2.4244  2.3598  2.2973  2.1483  2.0054  1.8670  1.7304  1.5929
  1.4553
  2.8308  2.8583  2.8751  2.8799  2.8722  2.8515  2.8174  2.7690  2.7084  2.6417
  2.5731  2.5044  2.4369  2.3712  2.3074  2.1553  2.0092  1.8677  1.7296  1.5928
  1.4568  1.3225
  2.7568  2.7908  2.8163  2.8313  2.8345  2.8249  2.8019  2.7647  2.7127  2.6506
  2.5840  2.5159  2.4481  2.3816  2.3167  2.1620  2.0135  1.8695  1.7298  1.5931
  1.4582  1.3255  1.1952  1.0673
  2.6724  2.7110  2.7443  2.7688  2.7824  2.7840  2.7727  2.7476  2.7073  2.6530
  2.5905  2.5243  2.4570  2.3903  2.3247  2.1679  2.0179  1.8721  1.7310  1.5940
  1.4599  1.3283  1.1995  1.0732  0.9495  0.8282  0.7095  0.5933  0.4819  0.3764
  2.5600  2.6074  2.6520  2.6880  2.7139  2.7277  2.7284  2.7158  2.6888  2.6460
  2.5907  2.5283  2.4629  2.3967  2.3311  2.1728  2.0218  1.8750  1.7329  1.5956
  1.4620  1.3314  1.2038  1.0789  0.9564  0.8365  0.7191  0.6043  0.4923  0.3847
  0.2828
  2.4988  2.4949  2.5170  2.5593  2.6054  2.6409  2.6603  2.6637  2.6520  2.6246
  2.5812  2.5261  2.4647  2.4005  2.3356  2.1768  2.0250  1.8777  1.7350  1.5973
  1.4641  1.3344  1.2080  1.0844  0.9633  0.8445  0.7280  0.6142  0.5033  0.3951
  0.2910
  2.4910  2.4730  2.4588  2.4604  2.4788  2.5063  2.5345  2.5567  2.5680  2.5646
  2.5439  2.5064  2.4562  2.3980  2.3360  2.1786  2.0261  1.8784  1.7351  1.5969
  1.4637  1.3346  1.2091  1.0867  0.9669  0.8493  0.7339  0.6209  0.5106  0.4031
  0.2984
  2.5076  2.4778  2.4528  2.4332  2.4234  2.4249  2.4341  2.4442  2.4512  2.4525
  2.4458  2.4297  2.4042  2.3688  2.3234  2.1808  2.0293  1.8814  1.7378  1.5995
  1.4664  1.3378  1.2131  1.0917  0.9732  0.8571  0.7431  0.6313  0.5219  0.4151
  0.3108
  2.5251  2.4947  2.4647  2.4368  2.4130  2.3950  2.3842  2.3786  2.3738  2.3657
  2.3521  2.3333  2.3103  2.2844  2.2563  2.1645  2.0312  1.8847  1.7410  1.6024
  1.4692  1.3409  1.2169  1.0965  0.9791  0.8643  0.7515  0.6410  0.5328  0.4268
  0.3282
  2.5449  2.5146  2.4839  2.4529  2.4229  2.3950  2.3704  2.3496  2.3318  2.3145
  2.2949  2.2709  2.2426  2.2115  2.1347  2.1297  2.0318  1.8883  1.7447
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  H   
  3.0046  2.9983  2.9802  2.9509  2.9112  2.8617  2.8027  2.7349  2.6607  2.5877
  2.5166  2.4474  2.3806  2.3165  2.2551  2.1116  1.9784  1.8505  1.7219
  2.9765  2.9791  2.9707  2.9508  2.9189  2.8747  2.8179  2.7499  2.6772  2.6047
  2.5334  2.4636  2.3960  2.3309  2.2683  2.1212  1.9837  1.8521  1.7214  1.5872
  2.9325  2.9457  2.9465  2.9352  2.9116  2.8756  2.8267  2.7647  2.6946  2.6228
  2.5513  2.4811  2.4127  2.3464  2.2825  2.1318  1.9898  1.8542  1.7215  1.5878
  1.4529
  2.8735  2.8973  2.9091  2.9084  2.8951  2.8689  2.8294  2.7756  2.7101  2.6399
  2.5688  2.4982  2.4290  2.3617  2.2964  2.1423  1.9967  1.8573  1.7222  1.5884
  1.4548  1.3222
  2.8022  2.8353  2.8567  2.8671  2.8650  2.8499  2.8213  2.7783  2.7207  2.6540
  2.5840  2.5136  2.4440  2.3757  2.3094  2.1522  2.0038  1.8612  1.7237  1.5894
  1.4567  1.3255  1.1965  1.0698
  2.7255  2.7592  2.7900  2.8106  2.8197  2.8162  2.7994  2.7686  2.7225  2.6626
  2.5956  2.5262  2.4566  2.3880  2.3208  2.1610  2.0105  1.8657  1.7261  1.5911
  1.4588  1.3287  1.2011  1.0759  0.9531  0.8325  0.7141  0.5983  0.4874  0.3821
  2.6251  2.6689  2.7067  2.7379  2.7584  2.7667  2.7620  2.7439  2.7111  2.6624
  2.6016  2.5348  2.4663  2.3978  2.3302  2.1685  2.0163  1.8701  1.7292  1.5933
  1.4612  1.3320  1.2056  1.0817  0.9603  0.8412  0.7243  0.6097  0.4978  0.3906
  0.2888
  2.5135  2.5393  2.5902  2.6398  2.6756  2.6976  2.7064  2.7018  2.6832  2.6491
