 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  H   
  2.8019  2.8183  2.8242  2.8191  2.8017  2.7726  2.7324  2.6821  2.6235  2.5620
  2.5001  2.4393  2.3799  2.3218  2.2644  2.1208  1.9760  1.8292  1.6797
  2.7432  2.7681  2.7829  2.7865  2.7779  2.7570  2.7234  2.6775  2.6227  2.5631
  2.5017  2.4403  2.3798  2.3205  2.2619  2.1155  1.9690  1.8228  1.6759  1.5294
  2.6755  2.7064  2.7292  2.7419  2.7427  2.7310  2.7061  2.6676  2.6186  2.5626
  2.5029  2.4418  2.3808  2.3205  2.2609  2.1121  1.9638  1.8173  1.6719  1.5279
  1.3862
  2.6029  2.6369  2.6657  2.6861  2.6961  2.6941  2.6789  2.6497  2.6081  2.5576
  2.5014  2.4421  2.3815  2.3209  2.2607  2.1103  1.9604  1.8132  1.6685  1.5261
  1.3864  1.2495
  2.5139  2.5542  2.5910  2.6202  2.6390  2.6462  2.6408  2.6219  2.5892  2.5458
  2.4950  2.4392  2.3806  2.3207  2.2605  2.1095  1.9587  1.8106  1.6661  1.5247
  1.3864  1.2512  1.1192  0.9901
  2.4223  2.4318  2.4665  2.5147  2.5569  2.5826  2.5902  2.5825  2.5603  2.5256
  2.4817  2.4312  2.3763  2.3187  2.2594  2.1090  1.9578  1.8092  1.6647  1.5239
  1.3867  1.2528  1.1221  0.9945  0.8700  0.7484  0.6297  0.5139  0.4019  0.2957
  2.4125  2.3912  2.3827  2.3918  2.4151  2.4462  2.4789  2.5011  2.5055  2.4901
  2.4586  2.4161  2.3669  2.3132  2.2565  2.1082  1.9573  1.8085  1.6639  1.5236
  1.3873  1.2545  1.1250  0.9986  0.8753  0.7551  0.6377  0.5233  0.4117  0.3038
  0.2013
  2.4214  2.3927  2.3680  2.3512  2.3450  2.3488  2.3571  2.3653  2.3724  2.3787
  2.3809  2.3699  2.3421  2.3000  2.2493  2.1066  1.9568  1.8081  1.6635  1.5236
  1.3880  1.2562  1.1279  1.0027  0.8805  0.7613  0.6450  0.5316  0.4211  0.3136
  0.2094
  2.4364  2.4058  2.3761  2.3489  2.3262  2.3098  2.2992  2.2914  2.2824  2.2708
  2.2596  2.2526  2.2490  2.2395  2.2164  2.1010  1.9543  1.8060  1.6614  1.5217
  1.3866  1.2555  1.1280  1.0037  0.8825  0.7643  0.6489  0.5364  0.4267  0.3199
  0.2158
  2.4487  2.4203  2.3906  2.3602  2.3306  2.3030  2.2786  2.2574  2.2379  2.2177
  2.1960  2.1737  2.1541  2.1403  2.1306  2.0758  1.9521  1.8059  1.6617  1.5223
  1.3878  1.2577  1.1313  1.0081  0.8878  0.7706  0.6563  0.5449  0.4362  0.3302
  0.2268
  2.4490  2.4263  2.4003  2.3719  2.3411  2.3095  2.2782  2.2481  2.2194  2.1915
  2.1639  2.1355  2.1070  2.0799  2.0564  2.0121  1.9335  1.8042  1.6616  1.5226
  1.3886  1.2592  1.1340  1.0121  0.8932  0.7770  0.6635  0.5530  0.4453  0.3402
  0.2424
  2.4373  2.4134  2.3953  2.3724  2.3458  2.3156  2.2830  2.2495  2.2159  2.1825
  2.1495  2.1166  2.0836  2.0507  1.9938  1.9099  1.8985  1.8009  1.6611
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  H   
  2.8470  2.8576  2.8567  2.8449  2.8209  2.7852  2.7388  2.6827  2.6191  2.5541
  2.4896  2.4266  2.3657  2.3065  2.2487  2.1068  1.9656  1.8233  1.6782
  2.7956  2.8150  2.8235  2.8202  2.8048  2.7772  2.7369  2.6844  2.6240  2.5602
  2.4956  2.4318  2.3696  2.3092  2.2501  2.1048  1.9611  1.8183  1.6743  1.5295
  2.7318  2.7593  2.7769  2.7833  2.7775  2.7590  2.7274  2.6822  2.6268  2.5655
  2.5017  2.4376  2.3746  2.3129  2.2526  2.1045  1.9581  1.8141  1.6710  1.5284
  1.3875
  2.6605  2.6931  2.7183  2.7339  2.7381  2.7298  2.7083  2.6725  2.6242  2.5674
  2.5060  2.4426  2.3793  2.3168  2.2556  2.1053  1.9567  1.8112  1.6683  1.5271
  1.3882  1.2518
  2.5813  2.6176  2.6494  2.6731  2.6866  2.6884  2.6775  2.6527  2.6135  2.5633
  2.5061  2.4451  2.3826  2.3201  2.2583  2.1066  1.9566  1.8098  1.6665  1.5262
  1.3887  1.2540  1.1222  0.9934
  2.4713  2.5129  2.5584  2.5956  2.6216  2.6346  2.6344  2.6208  2.5925  2.5511
  2.5002  2.4433  2.3832  2.3218  2.2601  2.1080  1.9574  1.8096  1.6659  1.5260
  1.3895  1.2561  1.1257  0.9982  0.8737  0.7520  0.6332  0.5171  0.4050  0.2990
  2.4222  2.4138  2.4278  2.4614  2.5042  2.5427  2.5658  2.5702  2.5572  2.5279
  2.4860  2.4355  2.3797  2.3208  2.2605  2.1089  1.9583  1.8100  1.6660  1.5264
  1.3906  1.2583  1.1292  1.0029  0.8795  0.7591  0.6416  0.5270  0.4152  0.3071
  0.2047
  2.4228  2.3975  2.3804  2.3767  2.3878  2.4077  2.4300  2.4508  2.4632  2.4633
  2.4469  2.4139  2.3683  2.3152  2.2581  2.1093  1.9591  1.8108  1.6665  1.5270
  1.3919  1.2605  1.1325  1.0075  0.8853  0.7660  0.6494  0.5358  0.4251  0.3172
  0.2128
  2.4350  2.4051  2.3779  2.3559  2.3423  2.3380  2.3400  2.3427  2.3422  2.3379
  2.3320  2.3245  2.3104  2.2836  2.2432  2.1069  1.9582  1.8099  1.6654  1.5258
  1.3910  1.2602  1.1331  1.0091  0.8880  0.7696  0.6539  0.5412  0.4313  0.3242
  0.2197
  2.4513  2.4210  2.3905  2.3615  2.3356  2.3143  2.2985  2.2866  2.2747  2.2598
  2.2412  2.2213  2.2041  2.1903  2.1754  2.0955  1.9584  1.8114  1.6670  1.5276
  1.3932  1.2630  1.1368  1.0138  0.8937  0.7765  0.6620  0.5502  0.4412  0.3349
  0.2311
  2.4648  2.4366  2.4069  2.3761  2.3454  2.3158  2.2883  2.2635  2.2406  2.2178
  2.1932  2.1663  2.1382  2.1118  2.0897  2.0413  1.9498  1.8120  1.6685  1.5293
  1.3952  1.2656  1.1403  1.0184  0.8995  0.7833  0.6697  0.5589  0.4508  0.3453
  0.2470
  2.4659  2.4433  2.4174  2.3887  2.3582  2.3260  2.2933  2.2610  2.2295  2.1988
  2.1682  2.1369  2.1046  2.0717  1.9861  1.9443  1.9324  1.8117  1.6699
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  H   
  2.8849  2.8891  2.8826  2.8651  2.8362  2.7955  2.7430  2.6799  2.6122  2.5443
  2.4775  2.4124  2.3496  2.2891  2.2305  2.0891  1.9514  1.8140  1.6737
  2.8413  2.8554  2.8572  2.8476  2.8261  2.7921  2.7455  2.6871  2.6218  2.5545
  2.4874  2.4215  2.3576  2.2958  2.2359  2.0910  1.9498  1.8107  1.6705  1.5282
  2.7833  2.8064  2.8185  2.8187  2.8064  2.7815  2.7433  2.6917  2.6305  2.5648
  2.4980  2.4315  2.3666  2.3035  2.2422  2.0941  1.9495  1.8082  1.6680  1.5276
  1.3880
  2.7146  2.7450  2.7663  2.7765  2.7747  2.7600  2.7320  2.6898  2.6349  2.5727
  2.5072  2.4408  2.3752  2.3111  2.2486  2.0978  1.9505  1.8069  1.6662  1.5269
  1.3892  1.2536
  2.6384  2.6734  2.7020  2.7213  2.7297  2.7258  2.7089  2.6778  2.6320  2.5756
  2.5131  2.4480  2.3825  2.3178  2.2545  2.1016  1.9524  1.8069  1.6653  1.5265
  1.3901  1.2562  1.1250  0.9965
  2.5298  2.5872  2.6238  2.6528  2.6715  2.6782  2.6724  2.6532  2.6190  2.5710
  2.5139  2.4517  2.3875  2.3230  2.2593  2.1050  1.9548  1.8080  1.6655  1.5269
  1.3913  1.2587  1.1289  1.0019  0.8773  0.7555  0.6366  0.5209  0.4092  0.3035
  2.4425  2.4618  2.5052  2.5529  2.5899  2.6126  2.6205  2.6140  2.5929  2.5563
  2.5073  2.4503  2.3890  2.3260  2.2627  2.1078  1.9571  1.8096  1.6664  1.5278
  1.3929  1.2613  1.1328  1.0071  0.8840  0.7636  0.6461  0.5313  0.4194  0.3116
  0.2095
  2.4255  2.4072  2.4041  2.4212  2.4525  2.4882  2.5196  2.5378  2.5387  2.5220
  2.4880  2.4407  2.3854  2.3257  2.2641  2.1099  1.9591  1.8113  1.6677  1.5290
  1.3947  1.2640  1.1367  1.0122  0.8904  0.7711  0.6544  0.5407  0.4298  0.3218
  0.2176
  2.4320  2.4044  2.3820  2.3690  2.3689  2.3799  2.3951  2.4095  2.4192  2.4212
  2.4134  2.3936  2.3601  2.3140  2.2594  2.1098  1.9593  1.8113  1.6672  1.5282
  1.3940  1.2640  1.1375  1.0142  0.8935  0.7754  0.6596  0.5465  0.4364  0.3291
  0.2247
  2.4474  2.4162  2.3877  2.3623  2.3427  2.3311  2.3269  2.3259  2.3230  2.3154
  2.3027  2.2869  2.2697  2.2490  2.2210  2.1075  1.9613  1.8138  1.6697  1.5306
  1.3966  1.2671  1.1415  1.0191  0.8997  0.7828  0.6683  0.5564  0.4471  0.3384
  0.2370
  2.4651  2.4347  2.4039  2.3737  2.3454  2.3205  2.2999  2.2835  2.2691  2.2532
  2.2333  2.2091  2.1828  2.1576  2.1349  2.0708  1.9595  1.8160  1.6723  1.5332
  1.3994  1.2703  1.1454  1.0240  0.9056  0.7898  0.6764  0.5656  0.4573  0.3515
  0.2546
  2.4777  2.4516  2.4217  2.3910  2.3595  2.3284  2.2985  2.2706  2.2447  2.2197
  2.1938  2.1655  2.1344  2.1019  2.0011  1.9997  1.9539  1.8179  1.6750
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  H   
  2.9150  2.9135  2.9013  2.8781  2.8441  2.7989  2.7431  2.6746  2.6034  2.5330
  2.4639  2.3968  2.3320  2.2698  2.2099  2.0680  1.9330  1.8005  1.6659
  2.8793  2.8873  2.8836  2.8681  2.8408  2.8016  2.7497  2.6861  2.6168  2.5467
  2.4774  2.4096  2.3438  2.2804  2.2193  2.0738  1.9347  1.7995  1.6638  1.5251
  2.8281  2.8463  2.8527  2.8469  2.8286  2.7978  2.7538  2.6964  2.6303  2.5612
  2.4919  2.4234  2.3567  2.2920  2.2295  2.0805  1.9376  1.7991  1.6624  1.5250
  1.3873
  2.7637  2.7911  2.8077  2.8125  2.8047  2.7840  2.7498  2.7014  2.6408  2.5741
  2.5054  2.4368  2.3692  2.3034  2.2397  2.0875  1.9413  1.7998  1.6617  1.5248
  1.3888  1.2544
  2.6896  2.7235  2.7490  2.7639  2.7670  2.7574  2.7344  2.6971  2.6451  2.5830
  2.5163  2.4482  2.3804  2.3138  2.2490  2.0942  1.9456  1.8015  1.6619  1.5251
  1.3902  1.2574  1.1271  0.9993
  2.6052  2.6438  2.6770  2.7014  2.7150  2.7165  2.7051  2.6800  2.6397  2.5854
  2.5229  2.4566  2.3893  2.3225  2.2570  2.1001  1.9500  1.8042  1.6631  1.5260
  1.3919  1.2603  1.1315  1.0052  0.8814  0.7601  0.6414  0.5253  0.4138  0.3083
  2.4927  2.5402  2.5847  2.6207  2.6465  2.6602  2.6609  2.6482  2.6211  2.5783
  2.5230  2.4606  2.3952  2.3290  2.2633  2.1050  1.9539  1.8071  1.6650  1.5276
  1.3939  1.2633  1.1357  1.0108  0.8884  0.7685  0.6511  0.5362  0.4242  0.3166
  0.2147
  2.4314  2.4275  2.4495  2.4918  2.5380  2.5734  2.5927  2.5961  2.5844  2.5569
  2.5135  2.4584  2.3970  2.3327  2.2678  2.1090  1.9571  1.8098  1.6671  1.5294
  1.3961  1.2664  1.1400  1.0163  0.8952  0.7764  0.6599  0.5461  0.4352  0.3270
  0.2229
  2.4236  2.4055  2.3913  2.3929  2.4113  2.4387  2.4669  2.4891  2.5003  2.4969
  2.4762  2.4387  2.3885  2.3303  2.2683  2.1108  1.9583  1.8105  1.6671  1.5289
  1.3957  1.2666  1.1410  1.0186  0.8988  0.7812  0.6658  0.5528  0.4424  0.3349
  0.2303
  2.4402  2.4103  2.3852  2.3656  2.3557  2.3573  2.3664  2.3764  2.3833  2.3846
  2.3780  2.3620  2.3365  2.3010  2.2556  2.1130  1.9614  1.8135  1.6699  1.5315
  1.3983  1.2697  1.1450  1.0236  0.9051  0.7890  0.6750  0.5632  0.4538  0.3470
  0.2426
  2.4577  2.4272  2.3971  2.3692  2.3453  2.3274  2.3164  2.3109  2.3060  2.2979
  2.2843  2.2655  2.2425  2.2166  2.1885  2.0967  1.9634  1.8168  1.6731  1.5344
  1.4012  1.2729  1.1489  1.0284  0.9110  0.7961  0.6834  0.5729  0.4646  0.3586
  0.2598
  2.4774  2.4471  2.4163  2.3853  2.3553  2.3274  2.3027  2.2819  2.2640  2.2467
  2.2271  2.2031  2.1748  2.1437  2.0670  2.0619  1.9643  1.8204  1.6767
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  H   
  2.9373  2.9309  2.9127  2.8835  2.8438  2.7942  2.7352  2.6673  2.5930  2.5200
  2.4489  2.3797  2.3129  2.2487  2.1874  2.0437  1.9105  1.7826  1.6542
  2.9093  2.9118  2.9033  2.8835  2.8516  2.8073  2.7504  2.6823  2.6096  2.5370
  2.4657  2.3959  2.3283  2.2632  2.2006  2.0534  1.9158  1.7842  1.6535  1.5192
  2.8653  2.8784  2.8791  2.8677  2.8441  2.8081  2.7591  2.6971  2.6270  2.5552
  2.4837  2.4134  2.3450  2.2787  2.2147  2.0639  1.9220  1.7863  1.6535  1.5198
  1.3849
  2.8064  2.8300  2.8417  2.8410  2.8276  2.8014  2.7618  2.7080  2.6425  2.5723
  2.5011  2.4305  2.3613  2.2939  2.2287  2.0745  1.9289  1.7893  1.6542  1.5204
  1.3868  1.2541
  2.7350  2.7680  2.7894  2.7997  2.7975  2.7824  2.7537  2.7107  2.6531  2.5863
  2.5164  2.4459  2.3762  2.3080  2.2417  2.0844  1.9359  1.7933  1.6558  1.5215
  1.3887  1.2574  1.1284  1.0017
  2.6583  2.6920  2.7227  2.7433  2.7522  2.7487  2.7318  2.7010  2.6548  2.5949
  2.5279  2.4585  2.3889  2.3202  2.2531  2.0932  1.9426  1.7977  1.6582  1.5231
  1.3908  1.2606  1.1330  1.0078  0.8850  0.7644  0.6460  0.5302  0.4193  0.3140
  2.5579  2.6016  2.6394  2.6706  2.6909  2.6991  2.6945  2.6763  2.6435  2.5948
  2.5339  2.4671  2.3986  2.3300  2.2625  2.1006  1.9484  1.8022  1.6612  1.5253
  1.3932  1.2640  1.1375  1.0136  0.8922  0.7731  0.6562  0.5416  0.4297  0.3225
  0.2207
  2.4461  2.4719  2.5228  2.5725  2.6082  2.6301  2.6389  2.6342  2.6156  2.5815
